City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,avarua,-21.2078,-159.775,78.85,78,75,6.91,CK,2023-04-02 15:27:06
144,bethel,41.3712,-73.414,45.01,33,0,16.11,US,2023-04-02 15:27:06
145,georgetown,5.4112,100.3354,80.55,89,20,3.44,MY,2023-04-02 15:27:06
146,koungou,-12.7336,45.2042,82.11,83,20,11.5,YT,2023-04-02 15:27:06
147,jakar,27.5492,90.7525,41.11,95,97,0.78,BT,2023-04-02 15:27:06
148,faya,18.3851,42.4509,66.31,63,77,9.28,SA,2023-04-02 15:27:06
149,marzuq,14.4,46.4667,79.9,54,70,10.74,YE,2023-04-02 15:27:06
150,camacari,-12.6975,-38.3242,87.57,50,7,4.47,BR,2023-04-02 15:27:07
151,waiouru,-39.4833,175.6667,48.09,96,89,3.33,NZ,2023-04-02 15:27:07
152,lichinga,-13.3128,35.2406,69.89,78,75,14.97,MZ,2023-04-02 15:27:07
153,shingu,33.7333,135.9833,58.41,85,100,14.56,JP,2023-04-02 15:27:07
154,kalmunai,7.4167,81.8167,80.46,80,35,8.86,LK,2023-04-02 15:27:08
155,cabo san lucas,22.8909,-109.9124,77.05,59,75,2.3,MX,2023-04-02 15:25:25
156,lebu,-37.6167,-73.65,58.35,79,67,13.35,CL,2023-04-02 15:27:09
157,kangaatsiaq,68.3065,-53.4641,-4.86,95,99,6.55,GL,2023-04-02 15:27:10
158,tautira,-17.7333,-149.15,82.92,68,88,8.97,PF,2023-04-02 15:27:10
159,preobrazheniye,42.9019,133.9064,38.98,70,55,4.97,RU,2023-04-02 15:27:10
160,broken hill,-31.95,141.4333,56.52,38,1,6.06,AU,2023-04-02 15:27:10
161,talnakh,69.4865,88.3972,25.21,97,100,4.03,RU,2023-04-02 15:27:11
162,pangnirtung,66.1451,-65.7125,11.12,63,100,1.48,CA,2023-04-02 15:27:11
163,floro,61.5996,5.0328,50.07,66,20,10.36,NO,2023-04-02 15:27:11
164,aldan,58.6031,125.3894,-6.29,100,93,3.2,RU,2023-04-02 15:27:11
165,souillac,-20.5167,57.5167,79.18,89,75,8.05,MU,2023-04-02 15:27:12
166,hambantota,6.1241,81.1185,77.34,100,20,4.61,LK,2023-04-02 15:27:12
167,ahlat,38.7518,42.4814,36.46,85,100,6.11,TR,2023-04-02 15:27:12
168,tommot,58.9564,126.2925,-10.53,100,55,1.59,RU,2023-04-02 15:27:12
169,santa cruz del sur,20.7147,-77.9956,82.22,60,0,9.24,CU,2023-04-02 15:27:12
170,thompson,55.7435,-97.8558,-0.24,71,75,14.97,CA,2023-04-02 15:27:13
171,margate,51.3813,1.3862,47.89,67,7,10.0,GB,2023-04-02 15:27:13
172,nikolskoye,59.7035,30.7861,35.49,86,64,11.34,RU,2023-04-02 15:27:13
173,barrow,71.2906,-156.7887,3.22,78,100,19.57,US,2023-04-02 15:27:13
174,malakal,9.5334,31.6605,98.37,7,71,6.89,SS,2023-04-02 15:27:13
175,san borja,-14.8167,-66.85,83.39,70,67,2.46,BO,2023-04-02 15:27:13
176,soto la marina,23.7667,-98.2167,80.83,59,99,12.01,MX,2023-04-02 15:27:13
177,alta floresta,-9.8756,-56.0861,82.22,78,75,5.75,BR,2023-04-02 15:27:14
178,roma,43.2128,-75.4557,31.73,36,0,12.66,US,2023-04-02 15:24:02
179,provideniya,64.3833,-173.3,-2.27,95,7,6.06,RU,2023-04-02 15:27:14
180,izhma,65.0083,53.9113,23.59,94,84,2.51,RU,2023-04-02 15:27:14
181,amli,20.2833,73.0167,77.77,65,6,4.79,IN,2023-04-02 15:27:14
182,kuching,1.55,110.3333,81.03,86,40,1.99,MY,2023-04-02 15:27:15
183,severo-kurilsk,50.6789,156.125,31.23,87,77,12.53,RU,2023-04-02 15:27:15
184,bilma,18.6853,12.9164,89.22,4,100,6.44,NE,2023-04-02 15:27:15
185,myslowice,50.2075,19.1667,39.06,90,100,5.99,PL,2023-04-02 15:27:15
186,sweetwater,25.7634,-80.3731,84.99,73,40,5.75,US,2023-04-02 15:27:15
187,vallenar,-28.5708,-70.7581,77.18,52,0,4.05,CL,2023-04-02 15:27:16
188,eganville,45.5334,-77.0994,22.51,69,10,5.88,CA,2023-04-02 15:27:16
189,migori,-1.0634,34.4731,69.73,87,43,4.56,KE,2023-04-02 15:27:16
190,zhigansk,66.7697,123.3711,18.61,94,100,22.82,RU,2023-04-02 15:27:16
191,vzmorye,54.6961,20.2361,42.89,47,15,19.82,RU,2023-04-02 15:27:16
192,benalla,-36.55,145.9833,55.29,70,0,5.44,AU,2023-04-02 15:27:16
193,port hardy,50.6996,-127.4199,37.4,100,40,4.61,CA,2023-04-02 15:27:17
194,umm kaddadah,13.6017,26.6876,91.35,8,83,11.23,SD,2023-04-02 15:27:17
195,ondjiva,-17.0667,15.7333,82.94,41,89,7.72,AO,2023-04-02 15:27:17
196,oktyabrskoye,43.0645,44.7417,50.14,46,75,8.95,RU,2023-04-02 15:27:17
197,avera,33.194,-82.5271,65.91,48,65,4.94,US,2023-04-02 15:27:18
198,kirkwall,58.9848,-2.9587,49.96,81,75,2.3,GB,2023-04-02 15:23:42
199,clyde river,70.4692,-68.5914,-10.97,84,0,5.75,CA,2023-04-02 15:27:18
200,vanimo,-2.6741,141.3028,78.35,87,100,0.65,PG,2023-04-02 15:27:18
201,mar del plata,-38.0023,-57.5575,73.94,51,0,16.11,AR,2023-04-02 15:22:33
202,heihe,50.2441,127.4902,36.18,82,100,4.85,CN,2023-04-02 15:27:18
203,ambilobe,-13.2,49.05,76.95,89,94,1.16,MG,2023-04-02 15:27:18
204,abha,18.2164,42.5053,66.02,59,40,11.5,SA,2023-04-02 15:23:14
205,luderitz,-26.6481,15.1594,68.47,70,93,14.92,NA,2023-04-02 15:27:19
206,goundam,16.4145,-3.6708,99.23,4,5,4.09,ML,2023-04-02 15:27:19
207,alice springs,-23.7,133.8833,71.15,59,100,10.36,AU,2023-04-02 15:26:16
208,altamira,-3.2033,-52.2064,77.09,94,100,2.3,BR,2023-04-02 15:27:19
209,manoel urbano,-8.8389,-69.2597,86.31,60,98,2.26,BR,2023-04-02 15:27:19
210,xai-xai,-25.0519,33.6442,77.02,73,17,9.06,MZ,2023-04-02 15:27:19
211,changqing,36.5575,116.7272,59.36,41,100,5.91,CN,2023-04-02 15:27:19
212,lynn haven,30.2455,-85.6483,75.96,47,0,10.36,US,2023-04-02 15:27:20
213,sola,-13.8833,167.55,79.47,94,75,0.0,VU,2023-04-02 15:27:20
214,sechura,-5.5569,-80.8222,82.44,66,100,1.88,PE,2023-04-02 15:27:20
215,gari,59.4307,62.3497,38.98,92,100,4.81,RU,2023-04-02 15:27:20
216,linqing,36.8456,115.7117,62.35,40,100,8.99,CN,2023-04-02 15:27:21
217,yara,20.2753,-76.9533,86.38,47,0,4.52,CU,2023-04-02 15:27:21
218,ancud,-41.8697,-73.8203,55.65,61,50,6.11,CL,2023-04-02 15:27:21
219,kem,64.9555,34.5793,26.35,84,8,10.58,RU,2023-04-02 15:27:21
220,road town,18.4167,-64.6167,84.24,58,40,12.66,VG,2023-04-02 15:26:18
221,mont-de-marsan,44.0,-0.6667,57.61,71,100,18.41,FR,2023-04-02 15:27:22
222,cayenne,4.9333,-52.3333,82.44,69,75,13.8,GF,2023-04-02 15:27:22
223,guerrero negro,27.9769,-114.0611,57.88,77,0,13.31,MX,2023-04-02 15:27:22
224,mapiri,-15.25,-68.1667,81.84,63,28,1.32,BO,2023-04-02 15:27:23
225,bucerias,20.75,-105.3333,69.78,78,40,0.0,MX,2023-04-02 15:24:53
226,kutum,14.2,24.6667,87.08,9,61,6.78,SD,2023-04-02 15:27:23
227,lagoa,39.05,-27.9833,56.79,58,12,27.92,PT,2023-04-02 15:27:23
228,amfiklia,38.6333,22.5833,52.66,75,100,1.88,GR,2023-04-02 15:27:23
229,sitka,57.0531,-135.33,30.09,86,0,4.61,US,2023-04-02 15:27:23
230,poum,-20.2333,164.0167,79.05,76,9,10.02,NC,2023-04-02 15:27:23
231,natal,-5.795,-35.2094,88.45,58,40,11.5,BR,2023-04-02 15:25:46
232,yeppoon,-23.1333,150.7333,65.98,81,99,11.7,AU,2023-04-02 15:27:23
233,salinopolis,-0.6136,-47.3561,79.34,86,62,8.66,BR,2023-04-02 15:27:24
234,tsaratanana,-16.7833,47.65,77.23,83,100,1.21,MG,2023-04-02 15:27:24
235,rafai,4.95,23.9167,95.05,25,77,2.93,CF,2023-04-02 15:27:24
236,lompoc,34.6391,-120.4579,54.79,85,20,23.0,US,2023-04-02 15:26:29
237,lahij,13.1667,44.5833,84.6,62,88,8.55,YE,2023-04-02 15:27:24
238,alto araguaia,-17.3147,-53.2153,82.13,57,0,6.31,BR,2023-04-02 15:27:25
239,christchurch,-43.5333,172.6333,50.32,89,75,6.91,NZ,2023-04-02 15:23:11
240,synya,65.3718,58.0387,19.96,95,75,2.77,RU,2023-04-02 15:27:25
241,lorengau,-2.0226,147.2712,79.81,81,94,1.77,PG,2023-04-02 15:27:25
